seq,scene,view,condition,kind,planned,actual_success,charged,status,seconds
64,android,2clutter105.JPG,geometry,exact_probe_forward,1,1,1,SUCCESS,0.131727
65,android,2clutter105.JPG,A,photo_backward,1,1,1,SUCCESS,0.006526
66,android,2clutter105.JPG,B,fine_forward,1,1,1,SUCCESS,0.002531
67,android,2clutter105.JPG,B,photo_backward,1,1,1,SUCCESS,0.006027
68,android,2clutter105.JPG,C,fine_forward,1,1,1,SUCCESS,0.002521
69,android,2clutter105.JPG,C,photo_backward,1,1,1,SUCCESS,0.006051
70,android,2clutter105.JPG,D,fine_forward,1,1,1,SUCCESS,0.002503
71,android,2clutter105.JPG,D,photo_backward,1,1,1,SUCCESS,0.006004
72,android,2clutter122.JPG,D,mask_head_forward,1,1,1,SUCCESS,0.000242
73,android,2clutter122.JPG,geometry,fine_forward,1,1,1,SUCCESS,0.002371
74,android,2clutter122.JPG,geometry,exact_probe_forward,1,1,1,SUCCESS,0.127701
75,android,2clutter122.JPG,A,photo_backward,1,1,1,SUCCESS,0.006077
76,android,2clutter122.JPG,B,fine_forward,1,1,1,SUCCESS,0.002344
77,android,2clutter122.JPG,B,photo_backward,1,1,1,SUCCESS,0.005411
78,android,2clutter122.JPG,C,fine_forward,1,1,1,SUCCESS,0.002312
79,android,2clutter122.JPG,C,photo_backward,1,1,1,SUCCESS,0.005376
80,android,2clutter122.JPG,D,fine_forward,1,1,1,SUCCESS,0.002304
81,android,2clutter122.JPG,D,photo_backward,1,1,1,SUCCESS,0.005394
82,android,2clutter140.JPG,D,mask_head_forward,1,1,1,SUCCESS,0.00024
83,android,2clutter140.JPG,geometry,fine_forward,1,1,1,SUCCESS,0.002281
84,android,2clutter140.JPG,geometry,exact_probe_forward,1,1,1,SUCCESS,0.128226
85,android,2clutter140.JPG,A,photo_backward,1,1,1,SUCCESS,0.005751
86,android,2clutter140.JPG,B,fine_forward,1,1,1,SUCCESS,0.002207
87,android,2clutter140.JPG,B,photo_backward,1,1,1,SUCCESS,0.005277
88,android,2clutter140.JPG,C,fine_forward,1,1,1,SUCCESS,0.002179
89,android,2clutter140.JPG,C,photo_backward,1,1,1,SUCCESS,0.005406
90,android,2clutter140.JPG,D,fine_forward,1,1,1,SUCCESS,0.002199
91,android,2clutter140.JPG,D,photo_backward,1,1,1,SUCCESS,0.005275
92,room,DSCF4668.JPG,D,mask_head_forward,1,1,1,SUCCESS,0.000326
93,room,DSCF4668.JPG,geometry,fine_forward,1,1,1,SUCCESS,0.002821
94,room,DSCF4668.JPG,geometry,exact_probe_forward,1,1,1,SUCCESS,0.135755
95,room,DSCF4668.JPG,A,photo_backward,1,1,1,SUCCESS,0.006449
96,room,DSCF4668.JPG,B,fine_forward,1,1,1,SUCCESS,0.002384
97,room,DSCF4668.JPG,B,photo_backward,1,1,1,SUCCESS,0.005378
98,room,DSCF4668.JPG,C,fine_forward,1,1,1,SUCCESS,0.002342
99,room,DSCF4668.JPG,C,photo_backward,1,1,1,SUCCESS,0.005271
100,room,DSCF4668.JPG,D,fine_forward,1,1,1,SUCCESS,0.002384
101,room,DSCF4668.JPG,D,photo_backward,1,1,1,SUCCESS,0.00534
102,room,DSCF4711.JPG,D,mask_head_forward,1,1,1,SUCCESS,0.000252
103,room,DSCF4711.JPG,geometry,fine_forward,1,1,1,SUCCESS,0.002495
104,room,DSCF4711.JPG,geometry,exact_probe_forward,1,1,1,SUCCESS,0.137931
105,room,DSCF4711.JPG,A,photo_backward,1,1,1,SUCCESS,0.006076
106,room,DSCF4711.JPG,B,fine_forward,1,1,1,SUCCESS,0.002446
107,room,DSCF4711.JPG,B,photo_backward,1,1,1,SUCCESS,0.005666
108,room,DSCF4711.JPG,C,fine_forward,1,1,1,SUCCESS,0.002417
109,room,DSCF4711.JPG,C,photo_backward,1,1,1,SUCCESS,0.005622
110,room,DSCF4711.JPG,D,fine_forward,1,1,1,SUCCESS,0.002416
111,room,DSCF4711.JPG,D,photo_backward,1,1,1,SUCCESS,0.005724
112,room,DSCF4756.JPG,D,mask_head_forward,1,1,1,SUCCESS,0.000246
113,room,DSCF4756.JPG,geometry,fine_forward,1,1,1,SUCCESS,0.00222
114,room,DSCF4756.JPG,geometry,exact_probe_forward,1,1,1,SUCCESS,0.134365
115,room,DSCF4756.JPG,A,photo_backward,1,1,1,SUCCESS,0.005551
116,room,DSCF4756.JPG,B,fine_forward,1,1,1,SUCCESS,0.002232
117,room,DSCF4756.JPG,B,photo_backward,1,1,1,SUCCESS,0.005134
118,room,DSCF4756.JPG,C,fine_forward,1,1,1,SUCCESS,0.002215
119,room,DSCF4756.JPG,C,photo_backward,1,1,1,SUCCESS,0.005066
120,room,DSCF4756.JPG,D,fine_forward,1,1,1,SUCCESS,0.002156
121,room,DSCF4756.JPG,D,photo_backward,1,1,1,SUCCESS,0.00501
122,room,DSCF4800.JPG,D,mask_head_forward,1,1,1,SUCCESS,0.000246
123,room,DSCF4800.JPG,geometry,fine_forward,1,1,1,SUCCESS,0.002445
124,room,DSCF4800.JPG,geometry,exact_probe_forward,1,1,1,SUCCESS,0.133716
125,room,DSCF4800.JPG,A,photo_backward,1,1,1,SUCCESS,0.006125
126,room,DSCF4800.JPG,B,fine_forward,1,1,1,SUCCESS,0.002435
127,room,DSCF4800.JPG,B,photo_backward,1,1,1,SUCCESS,0.005811
128,room,DSCF4800.JPG,C,fine_forward,1,1,1,SUCCESS,0.002475
129,room,DSCF4800.JPG,C,photo_backward,1,1,1,SUCCESS,0.005549
130,room,DSCF4800.JPG,D,fine_forward,1,1,1,SUCCESS,0.002429
131,room,DSCF4800.JPG,D,photo_backward,1,1,1,SUCCESS,0.005605
132,room,DSCF4844.JPG,D,mask_head_forward,1,1,1,SUCCESS,0.000243
133,room,DSCF4844.JPG,geometry,fine_forward,1,1,1,SUCCESS,0.002621
134,room,DSCF4844.JPG,geometry,exact_probe_forward,1,1,1,SUCCESS,0.133406
135,room,DSCF4844.JPG,A,photo_backward,1,1,1,SUCCESS,0.006457
136,room,DSCF4844.JPG,B,fine_forward,1,1,1,SUCCESS,0.002701
137,room,DSCF4844.JPG,B,photo_backward,1,1,1,SUCCESS,0.006007
138,room,DSCF4844.JPG,C,fine_forward,1,1,1,SUCCESS,0.002603
139,room,DSCF4844.JPG,C,photo_backward,1,1,1,SUCCESS,0.005994
140,room,DSCF4844.JPG,D,fine_forward,1,1,1,SUCCESS,0.002634
141,room,DSCF4844.JPG,D,photo_backward,1,1,1,SUCCESS,0.005986
142,room,DSCF4888.JPG,D,mask_head_forward,1,1,1,SUCCESS,0.000252
143,room,DSCF4888.JPG,geometry,fine_forward,1,1,1,SUCCESS,0.002054
144,room,DSCF4888.JPG,geometry,exact_probe_forward,1,1,1,SUCCESS,0.133299
145,room,DSCF4888.JPG,A,photo_backward,1,1,1,SUCCESS,0.004965
146,room,DSCF4888.JPG,B,fine_forward,1,1,1,SUCCESS,0.002027
147,room,DSCF4888.JPG,B,photo_backward,1,1,1,SUCCESS,0.004506
148,room,DSCF4888.JPG,C,fine_forward,1,1,1,SUCCESS,0.002007
149,room,DSCF4888.JPG,C,photo_backward,1,1,1,SUCCESS,0.004423
150,room,DSCF4888.JPG,D,fine_forward,1,1,1,SUCCESS,0.002036
151,room,DSCF4888.JPG,D,photo_backward,1,1,1,SUCCESS,0.004645
152,room,DSCF4933.JPG,D,mask_head_forward,1,1,1,SUCCESS,0.000237
153,room,DSCF4933.JPG,geometry,fine_forward,1,1,1,SUCCESS,0.001905
154,room,DSCF4933.JPG,geometry,exact_probe_forward,1,1,1,SUCCESS,0.130963
155,room,DSCF4933.JPG,A,photo_backward,1,1,1,SUCCESS,0.00461
156,room,DSCF4933.JPG,B,fine_forward,1,1,1,SUCCESS,0.001884
157,room,DSCF4933.JPG,B,photo_backward,1,1,1,SUCCESS,0.00425
158,room,DSCF4933.JPG,C,fine_forward,1,1,1,SUCCESS,0.001913
159,room,DSCF4933.JPG,C,photo_backward,1,1,1,SUCCESS,0.0041
160,room,DSCF4933.JPG,D,fine_forward,1,1,1,SUCCESS,0.001882
161,room,DSCF4933.JPG,D,photo_backward,1,1,1,SUCCESS,0.004047
162,room,DSCF4977.JPG,D,mask_head_forward,1,1,1,SUCCESS,0.000223
163,room,DSCF4977.JPG,geometry,fine_forward,1,1,1,SUCCESS,0.002291
164,room,DSCF4977.JPG,geometry,exact_probe_forward,1,1,1,SUCCESS,0.140692
165,room,DSCF4977.JPG,A,photo_backward,1,1,1,SUCCESS,0.006045
166,room,DSCF4977.JPG,B,fine_forward,1,1,1,SUCCESS,0.002269
167,room,DSCF4977.JPG,B,photo_backward,1,1,1,SUCCESS,0.005164
168,room,DSCF4977.JPG,C,fine_forward,1,1,1,SUCCESS,0.002239
169,room,DSCF4977.JPG,C,photo_backward,1,1,1,SUCCESS,0.005151
170,room,DSCF4977.JPG,D,fine_forward,1,1,1,SUCCESS,0.002248
171,room,DSCF4977.JPG,D,photo_backward,1,1,1,SUCCESS,0.005181
172,android,2clutter019.JPG,,mask_head_forward,1,1,1,SUCCESS,0.039467
173,android,2clutter019.JPG,reference64,fine_forward,1,1,1,SUCCESS,0.339976
174,android,2clutter019.JPG,reference64,reference64_forward,1,1,1,SUCCESS,0.000939
175,android,2clutter019.JPG,reference64,reference64_probe_forward,1,1,1,SUCCESS,0.506992
176,android,2clutter019.JPG,diagnostic_off,fine_forward,1,1,1,SUCCESS,0.002967
177,android,2clutter019.JPG,diagnostic_off,photo_backward,1,1,1,SUCCESS,0.009888
178,android,2clutter019.JPG,diagnostic_on,fine_forward,1,1,1,SUCCESS,0.002362
179,android,2clutter019.JPG,diagnostic_on,exact_probe_forward,1,1,1,SUCCESS,0.003384
180,android,2clutter019.JPG,diagnostic_on,photo_backward,1,1,1,SUCCESS,0.004981
181,android,2clutter019.JPG,,mask_head_forward,1,1,1,SUCCESS,0.042377
182,android,2clutter019.JPG,reference64,fine_forward,1,1,1,SUCCESS,0.358656
183,android,2clutter019.JPG,reference64,reference64_forward,1,1,1,SUCCESS,0.000972
184,android,2clutter019.JPG,reference64,reference64_probe_forward,1,1,1,SUCCESS,0.356795
185,android,2clutter019.JPG,diagnostic_off,fine_forward,1,1,1,SUCCESS,0.003083
186,android,2clutter019.JPG,diagnostic_off,photo_backward,1,1,1,SUCCESS,0.00995
187,android,2clutter019.JPG,diagnostic_on,fine_forward,1,1,1,SUCCESS,0.002138
188,android,2clutter019.JPG,diagnostic_on,exact_probe_forward,1,1,1,SUCCESS,0.003481
189,android,2clutter019.JPG,diagnostic_on,photo_backward,1,1,1,SUCCESS,0.004963
190,android,2clutter019.JPG,,mask_head_forward,1,1,1,SUCCESS,0.04162
191,android,2clutter019.JPG,reference64,fine_forward,1,1,1,SUCCESS,0.351195
192,android,2clutter019.JPG,reference64,reference64_forward,1,1,1,SUCCESS,0.000952
193,android,2clutter019.JPG,reference64,reference64_probe_forward,1,1,1,SUCCESS,0.351905
194,android,2clutter019.JPG,diagnostic_off,fine_forward,1,1,1,SUCCESS,0.002932
195,android,2clutter019.JPG,diagnostic_off,photo_backward,1,1,1,SUCCESS,0.008918
196,android,2clutter019.JPG,diagnostic_on,fine_forward,1,1,1,SUCCESS,0.002381
197,android,2clutter019.JPG,diagnostic_on,exact_probe_forward,1,1,1,SUCCESS,0.003517
198,android,2clutter019.JPG,diagnostic_on,photo_backward,1,1,1,SUCCESS,0.004965
199,android,2clutter019.JPG,overhead_off,fine_forward,1,1,1,SUCCESS,0.002105
200,android,2clutter019.JPG,overhead_on,fine_forward,1,1,1,SUCCESS,0.002192
201,android,2clutter019.JPG,overhead_on,exact_probe_forward,1,1,1,SUCCESS,0.001512
202,android,2clutter019.JPG,overhead_off,fine_forward,1,1,1,SUCCESS,0.002485
203,android,2clutter019.JPG,overhead_on,fine_forward,1,1,1,SUCCESS,0.002112
204,android,2clutter019.JPG,overhead_on,exact_probe_forward,1,1,1,SUCCESS,0.001507
205,android,2clutter019.JPG,overhead_off,fine_forward,1,1,1,SUCCESS,0.002065
206,android,2clutter019.JPG,overhead_on,fine_forward,1,1,1,SUCCESS,0.002123
207,android,2clutter019.JPG,overhead_on,exact_probe_forward,1,1,1,SUCCESS,0.001495
208,android,2clutter019.JPG,overhead_off,fine_forward,1,1,1,SUCCESS,0.002082
209,android,2clutter019.JPG,overhead_on,fine_forward,1,1,1,SUCCESS,0.002082
210,android,2clutter019.JPG,overhead_on,exact_probe_forward,1,1,1,SUCCESS,0.001492
211,room,DSCF4668.JPG,overhead_on,mask_head_forward,1,1,1,SUCCESS,0.00043
212,room,DSCF4668.JPG,reference64,fine_forward,1,1,1,SUCCESS,0.003007
213,room,DSCF4668.JPG,reference64,reference64_forward,1,1,1,SUCCESS,0.000739
214,room,DSCF4668.JPG,reference64,reference64_probe_forward,1,1,1,SUCCESS,0.137677
215,room,DSCF4668.JPG,diagnostic_off,fine_forward,1,1,1,SUCCESS,0.002716
216,room,DSCF4668.JPG,diagnostic_off,photo_backward,1,1,1,SUCCESS,0.006396
217,room,DSCF4668.JPG,diagnostic_on,fine_forward,1,1,1,SUCCESS,0.002475
218,room,DSCF4668.JPG,diagnostic_on,exact_probe_forward,1,1,1,SUCCESS,0.003355
219,room,DSCF4668.JPG,diagnostic_on,photo_backward,1,1,1,SUCCESS,0.005524
220,room,DSCF4668.JPG,overhead_off,fine_forward,1,1,1,SUCCESS,0.002404
221,room,DSCF4668.JPG,overhead_on,fine_forward,1,1,1,SUCCESS,0.002419
222,room,DSCF4668.JPG,overhead_on,exact_probe_forward,1,1,1,SUCCESS,0.001564
223,room,DSCF4668.JPG,overhead_off,fine_forward,1,1,1,SUCCESS,0.002416
224,room,DSCF4668.JPG,overhead_on,fine_forward,1,1,1,SUCCESS,0.002402
225,room,DSCF4668.JPG,overhead_on,exact_probe_forward,1,1,1,SUCCESS,0.001563
226,room,DSCF4668.JPG,overhead_off,fine_forward,1,1,1,SUCCESS,0.002406
227,room,DSCF4668.JPG,overhead_on,fine_forward,1,1,1,SUCCESS,0.002428
228,room,DSCF4668.JPG,overhead_on,exact_probe_forward,1,1,1,SUCCESS,0.001562
229,room,DSCF4668.JPG,overhead_off,fine_forward,1,1,1,SUCCESS,0.00243
230,room,DSCF4668.JPG,overhead_on,fine_forward,1,1,1,SUCCESS,0.002379
231,room,DSCF4668.JPG,overhead_on,exact_probe_forward,1,1,1,SUCCESS,0.001572
